12,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
14,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
14,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,3
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,3
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
14,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
14,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,3
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,3
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
12,4
15,2
14,3
12,3
15,1
14,3
14,1
14,3
